name,country,gender,boulder_points,lead_points,combined_points,highest_grade,count_8c_plus,avg_grade_first5
Kylie Cullen,USA,female,515.5,46.0,519.5,22.0,,18.73
Laura Rogora,ITA,female,505.5,2288.0,2531.0,25.0,6.0,22.29
Madison Richardson,CAN,female,493.2,,,,,
Giorgia Tesio,ITA,female,486.5,30.0,427.0,22.0,,19.0
Adriene Akiko Clark,USA,female,475.0,61.0,536.0,,,
Selma Elhadj Mimoune,FRA,female,463.5,,,,,
Chloe Caulier,BEL,female,449.0,80.5,414.0,20.0,,18.0
Maya Stasiuk,AUS,female,447.1,41.0,449.1,,,
Franziska Sterrer,AUT,female,408.5,119.0,402.5,15.0,,12.15
Lily Abriat,FRA,female,397.0,,,,,
Mashiro Kuzuu,JPN,female,380.0,,,,,
Mia Krampl,SLO,female,378.0,1563.0,1871.0,23.0,,20.46
Giulia Medici,ITA,female,359.7,,,,,
Martina Buršíková,SVK,female,333.5,32.0,326.0,,,
Roxana Wienand,GER,female,330.5,38.0,291.0,,,
Maya Dreamer,ISR,female,330.5,,,,,
Natsumi Hirano,JPN,female,326.5,,,,,
Valentina Aguado,ARG,female,305.5,194.5,461.5,,,
Molly Thompson-Smith,GBR,female,303.0,346.0,771.0,23.0,,20.57
Lea Kempf,AUT,female,286.8,,,,,
Jain Kim,KOR,female,283.0,1133.0,1133.0,,,
Lucy Garlick,GBR,female,282.8,,,,,
Cloe Coscoy,USA,female,270.8,,,19.0,,17.5
Andrea Kümin,SUI,female,264.3,,,23.0,,20.17
Sara Copar,SLO,female,264.0,1194.5,1024.0,,,
Flavy Cohaut,FRA,female,252.0,,,,,
Lucile Saurel,FRA,female,238.0,,,,,
Yejin Jung,KOR,female,230.5,,,,,
Nekaia Sanders,USA,female,226.0,,,,,
Manon Hily,FRA,female,223.0,916.5,845.5,24.0,5.0,21.26
Stasa Gejo,SRB,female,216.0,125.0,216.0,23.0,,19.98
Miku Ishii,JPN,female,195.8,,,,,
Zoe Peetermans,GBR,female,189.0,,,19.0,,17.35
Stella Giacani,ITA,female,184.0,,,,,
Johanna Färber,AUT,female,180.0,,,,,
Jacqueline Ho,CAN,female,172.0,,,,,
Summer Fraser,AUS,female,167.0,,,,,
Florence Grünewald,GER,female,163.8,,,,,
Michaela Smetanova,CZE,female,152.0,421.0,454.0,20.0,,17.38
Hélène Janicot,FRA,female,151.0,1381.0,1101.0,,,
Sandra Lettner,AUT,female,149.8,,,,,
Vita Lukan,SLO,female,146.0,889.0,816.0,24.0,2.0,21.57
Manami Yama,JPN,female,138.0,,,,,
Babette Roy,CAN,female,137.5,18.0,155.5,,,
Claire Cheffings,AUS,female,132.0,,,,,
Yejoo Seo,KOR,female,127.0,121.0,189.0,,,
Flora Oblasser,AUT,female,121.0,1590.0,1431.0,,,
Lisa Klem,NED,female,118.7,,,,,
Anna Lechner,GER,female,116.5,,,,,
Amber Schiffeleers,NED,female,116.0,,,,,
Ingrid Kindlihagen,NOR,female,115.0,9.0,149.0,21.0,,18.27
Gayeon Cho,KOR,female,112.5,105.0,217.5,,,
Geila Macià Martín,ESP,female,112.0,468.0,566.0,,,
Kaho Murakoshi,JPN,female,111.0,,,,,
Rose Weller,AUS,female,106.0,,,,,
Petra Klingler,SUI,female,101.0,101.0,101.0,,,
Hannah Meul,GER,female,97.0,192.0,192.0,,,
Anna Kelley,CAN,female,95.5,,,,,
Alejandra Contreras,CHI,female,95.0,14.0,109.0,14.0,,11.5
Yui Suezawa,JPN,female,95.0,,,,,
Vanessa Si Yinn Teng,SGP,female,94.0,34.0,120.0,,,
Natalie Goh Sihui,SGP,female,90.5,7.0,97.5,,,
Helen Gillett,USA,female,88.5,,,,,
Clea Hall,AUS,female,85.0,,,,,
Ryu Nakagawa,JPN,female,84.0,84.0,84.0,,,
Gayeong Oh,KOR,female,82.0,111.0,172.0,,,
Valentine Mangin,FRA,female,82.0,,,,,
Alannah Yip,CAN,female,81.0,60.0,81.0,18.0,,16.0
Yael Taub,ISR,female,79.5,,,,,
Ting-Chen Yao,TPE,female,77.0,15.0,92.0,,,
Judith Carroll,AUS,female,69.0,,,,,
Cheuk-Kei Wong,HKG,female,69.0,,,,,
Julija Kruder,SLO,female,68.0,,,19.0,,16.3
Maya Vásquez,CHI,female,66.5,7.0,73.5,,,
Evangelina Briggs,CAN,female,65.0,,,,,
Xu Liting,SGP,female,63.0,,,,,
Alma Sapir Halevi,ISR,female,63.0,,,,,
Yajun Huang,CHN,female,58.5,,,,,
Hung Ying Lee,TPE,female,58.0,63.0,121.0,,,
Ada Karlsbrun,ISR,female,57.0,,,,,
Lianet Castillo,VEN,female,57.0,,,17.0,,14.28
Abi Lance,AUS,female,56.0,,,,,
Emily Scott,AUS,female,53.0,17.0,70.0,,,
Sol Sa,KOR,female,52.0,52.0,52.0,23.0,,20.5
Ziqi Elly Gao,HKG,female,49.0,,,,,
Anastasiia Kobets,UKR,female,48.7,308.0,356.7,,,
Elnaz Rekabi,IRI,female,48.0,48.0,48.0,,,
Ema Galeova,CZE,female,46.8,12.0,81.8,21.0,,18.42
Maeve Bradbury,AUS,female,44.0,,,,,
Martina Castro,CHI,female,41.0,7.0,48.0,,,
Sandra Hopfensitz,GER,female,40.5,15.0,40.5,,,
Eilin Tan,SGP,female,37.5,,,,,
Xuanzhen Chen,CHN,female,37.0,40.0,77.0,,,
Francesca Matuella,ITA,female,36.8,,,,,
Xinwen Zhu,CHN,female,35.0,80.0,115.0,,,
Analise Van Hoang,USA,female,33.0,,,19.0,,18.33
Noa Shiran,ISR,female,32.5,265.0,267.5,23.0,,23.0
Ruby Danziger,ISR,female,31.5,,,,,
Matilde Cabezas,CHI,female,29.0,13.0,42.0,,,
Aleksandra Totkova,BUL,female,28.0,1302.0,1312.0,11.0,,7.93
Marian Kiara Luna Micheri,ARG,female,28.0,,,19.0,,15.89
Irina Daziano,ITA,female,27.0,,,,,
Margarita Agambayeva,KAZ,female,26.0,25.0,51.0,19.0,,16.58
Yali Wei,CHN,female,26.0,134.0,160.0,15.0,,11.78
Tegwen Oates,RSA,female,25.7,20.0,35.7,13.0,,12.67
Emma Edwards,GBR,female,25.5,,,,,
Heeju Noh,KOR,female,25.5,,,,,
Christel Kotze,AUS,female,25.0,,,,,
Svana Bjarnason,ISL,female,24.1,31.0,40.3,17.0,,14.4
Laura Farhat De Araujo Fraga Timo,BRA,female,23.5,1.0,24.5,,,
Zoe Garcia Molina,ARG,female,23.0,,,,,
Yawen Mi,CHN,female,23.0,,,,,
Iziar Martínez Almendros,ESP,female,20.0,73.0,93.0,25.0,1.0,21.08
Iris Heikkinen,FIN,female,17.7,19.0,36.7,,,
Sunniva Øvre-Eide,NOR,female,17.3,241.0,258.3,,,
Jordyn Damasco,AUS,female,17.0,,,,,
Katya Lynn Brockman,MEX,female,17.0,,,,,
Ka Kei Chu,MAC,female,16.7,,,,,
Pernille Tvedt,NOR,female,15.0,12.0,27.0,4.0,,4.0
Eliska Adamovska,CZE,female,13.0,22.0,22.0,,,
Eugenie Lee,GBR,female,13.0,,,,,
Melissa Esther Chen Chen,PER,female,13.0,9.0,22.0,,,
Yubin Hong,KOR,female,13.0,21.0,34.0,,,
Tahani Algouhi,KSA,female,11.5,,,,,
Ella Fisher,USA,female,11.3,,,24.0,1.0,20.98
Sunniva Eik Haave,NOR,female,11.3,,,18.0,,14.12
Jiaxuan Yang,CHN,female,11.3,,,,,
Lea Slobodová,SVK,female,11.0,,,,,
Anja Köhler,BRA,female,11.0,60.2,64.5,,,
Sienna Perez,USA,female,11.0,,,,,
Niamh Alldred,AUS,female,11.0,,,,,
Emilia Callanan,CAN,female,11.0,,,,,
Pak Chi Sou,MAC,female,9.7,,,,,
Shin Yee Chen,MAS,female,9.7,11.0,20.7,,,
Kylie Baker,GUM,female,9.7,8.0,17.7,,,
Lynn Van Der Meer,NED,female,8.0,1176.5,853.0,23.0,,19.73
Prateeksha Arun,IND,female,8.0,,,,,
Anna Bolius,AUT,female,8.0,,,,,
Shareen Mohd Nasran,MAS,female,8.0,,,,,
