name,country,gender,boulder_points,lead_points,combined_points,highest_grade,count_8c_plus,avg_grade_first5
alexey PANFILOV,KAZ,male,0.0,8.0,0.0,0,0,0.0
luka JERMAN,SLO,male,0.0,7.5,0.0,0,0,0.0
nidhal DAQNAH,KSA,male,0.0,7.0,0.0,0,0,0.0
hugo PARMENTIER,FRA,male,0.0,7.0,0.0,9b,21,24.14
allen LACTAOEN,GUM,male,0.0,6.0,0.0,0,0,0.0
mohammad GARAKANI,IRI,male,0.0,6.0,0.0,0,0,0.0
stanley AU,GUM,male,0.0,6.0,0.0,8a,0,16.88
ege DUMAN,TUR,male,0.0,6.0,0.0,8b+,0,19.0
yuping MEI,CHN,male,0.0,6.0,0.0,0,0,0.0
nima SANGZHU,CHN,male,0.0,6.0,0.0,0,0,0.0
dante CABALLERO,CHI,male,0.0,5.0,0.0,0,0,0.0
samo GOLOB,SLO,male,0.0,5.0,0.0,0,0,0.0
mark BRAND,NED,male,0.0,4.0,0.0,9a,1,21.02
michail VOLYRAKIS,GRE,male,0.0,3.0,0.0,0,0,0.0
eliáš KYSELA,SVK,male,0.0,3.0,0.0,9a,8,22.83
illia BAKHMET-SMOLENSKYI,UKR,male,0.0,3.0,0.0,9a,17,22.46
gergő VÁLYI,HUN,male,0.0,2.0,0.0,0,0,0.0
marco BAUHOFER,AUT,male,0.0,1.0,0.0,0,0,0.0
mykyta MYRONENKO,UKR,male,0.0,1.0,0.0,0,0,0.0
bharath PEREIRA,IND,male,0.0,1.0,0.0,0,0,0.0
natalia GROSSMAN,USA,female,2610.0,0.0,3423.0,0,0,0.0
oceania MACKENZIE,AUS,female,2405.0,1272.0,3828.0,0,0,0.0
mao NAKAMURA,JPN,female,2394.5,241.0,1841.0,0,0,0.0
zélia AVEZOU,FRA,female,2387.0,1983.0,3765.0,0,0,0.0
annie SANDERS,USA,female,2365.0,2590.0,3980.0,0,0,0.0
erin MCNEICE,GBR,female,2262.5,2275.0,4183.0,0,0,0.0
naïlé MEIGNAN,FRA,female,2175.0,0.0,0.0,0,0,0.0
anon MATSUFUJI,JPN,female,2123.0,0.0,0.0,0,0,0.0
janja GARNBRET,SLO,female,2000.0,3000.0,7500.0,0,0,0.0
miho NONAKA,JPN,female,1739.0,893.0,2689.0,0,0,0.0
chaehyun SEO,KOR,female,1598.0,3046.0,4086.0,0,0,0.0
brooke RABOUTOU,USA,female,1545.0,1000.0,3558.0,8c,0,20.33
